Depth sed [m]	N. pachyderma s [%]	N. pachyderma s [#]	Foram plankt indet [#]	Foram plankt [#/10 cm**3]	N. pachyderma s [#/g]	Foram plankt indet [#/g]
1.11	98.0	21790	22238	7858	1127	1150.0
1.12	97.0	26782	27614	4887	914	941.9
1.13	95.9	26782	27934	4944	826	862.0
1.14	96.4	39582	41054	7266	1052	1091.0
1.15	96.0	49054	51102	9045	1154	1202.0
1.16	97.0	42910	44254	7833	1388	1431.9
1.17	97.9	53790	54942	9724	1729	1766.1
1.18	97.6	46366	47518	10513	1556	1594.2
1.19	98.3	67742	68894	12194	1394	1417.6
1.20	97.5	49038	50319	6727		
1.21	98.8	21470	21726	7677	1090	1103.4
1.22	98.8	31006	31390	5556	908	919.1
1.23	98.2	31390	31966	5658	581	591.8
1.24	98.8	15294	15486	2741	490	495.8
1.25	98.6	22046	22366	3959	705	714.8
1.26	97.4	18174	18654	3302	543	557.5
1.27	98.6	26206	26590	4706	814	825.7
1.28	98.9	23134	23390	4140	790	799.1
1.29	96.0	13694	14270	5042	628	654.6
1.30	98.4	27934	28382	3794		0.0
1.31	98.2	47902	48798	8637	1311	1335.4
1.32	96.6	25310	26206	4638	1032	1068.9
1.33	98.1	46110	47006	8320	1518	1547.4
1.34	96.7	31902	32990	5839	1227	1269.3
1.35	99.0	38238	38622	6836	991	1001.4
1.36	96.3	64158	66590	11786	1655	1717.8
1.37	97.3	65518	67310	11913	1864	1914.7
1.38	98.6	32607	33055	5850	1528	1549.0
1.39	97.2	20062	20638	7293	985	1013.4
1.40	99.5	52901	53159	7107		
1.41	97.5	18942	19422	3438	1032	1058.5
1.42	96.8	26910	27806	4921	870	899.4
1.43	96.2	27486	28574	5057	644	669.5
1.44	96.7	20638	21345	3778	543	561.7
1.45	96.8	20446	21118	3738	566	585.1
1.46	97.4	16926	17374	3075	460	472.6
1.47	97.2	18622	19166	3392	555	571.2
1.48	96.5	18750	19422	3438	439	454.7
1.49	94.9	8958	9438	2088	250	263.2
1.50	97.5	8862	9086	1215		
1.51	94.9	8958	9438	2383	265	278.9
1.52	96.7	6574	6798	1203	204	210.5
1.53	97.2	9822	10110	1789	334	343.8
1.54	96.8	9598	9918	1755	276	285.2
1.55	97.4	10190	10462	1852	275	281.9
1.56	96.1	15678	16318	2888	341	354.4
1.57	95.2	18558	19486	3449	560	587.7
1.58	95.7	18494	19326	3421	524	547.2
1.59	96.2	9662	10046	2223	341	354.6
1.60	95.9	15614	16286	2177		
1.61	97.4	6606	6782	1713	299	307.1
1.62	96.7	5694	5886	1042	178	184.1
1.63	97.0	5710	5886	1042	158	162.7
1.64	95.5	6126	6414	1135	129	134.6
1.65	97.8	4846	4958	878	138	141.2
1.66	97.4	5454	5598	991	130	133.9
1.67	95.7	6430	6718	1189	148	154.5
1.68	97.5	12318	12638	2237	325	333.7
1.69	97.7	6766	6926	1749	396	405.6
1.70	99.5	25010	25138	3361		
1.71	97.7	9374	9598	2123	482	493.3
1.72	96.6	28766	29790	5263	882	913.8
1.73	98.9	23070	23326	4128	765	774.0
1.74	98.0	28382	28958	5125	788	804.5
1.75	99.0	20254	20446	3619	461	465.4
1.76	98.4	18014	18302	3239	516	523.8
1.77	99.5	12382	12446	2203	412	414.2
1.78	97.9	10558	10782	1908	286	291.8
1.79	99.0	3182	3214	711	64	64.5
1.80	99.2	1410	1422	190		
1.81	97.4	1210	1242	314	36	36.8
1.82	99.1	1274	1286	228	38	38.6
1.83	100.0	722	722	128	17	17.2
1.84	97.0	382	394	70	11	10.8
1.85	100.0	614	614	109	14	14.0
1.86	95.9	470	490	87	10	10.9
1.87	98.9	346	350	62	12	12.3
1.88	99.3	295	297	53	8	7.9
