Core,Coring device,Latitude,Longitude,Water depth (m),Ocean,Sample depth - upper (m),Symbiosis,Spine,Relative Abundance
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.81,symbiont-facultative,non-spinose,0.69756097561
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.81,symbiont-obligate,spinose,0.06341463414
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.81,undetermined,non-spinose,0.00487804878
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.85,symbiont-barren,non-spinose,0.04926108374
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.85,symbiont-barren,spinose,0.05418719212
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.85,symbiont-bearing,non-spinose,0
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.85,symbiont-bearing,spinose,0
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.85,symbiont-facultative,non-spinose,0.64532019704
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.85,symbiont-obligate,spinose,0.10344827586
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.85,undetermined,non-spinose,0
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.89,symbiont-barren,non-spinose,0.02873563218
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.89,symbiont-barren,spinose,0.1091954023
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.89,symbiont-bearing,non-spinose,0
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.89,symbiont-bearing,spinose,0.00574712644
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.89,symbiont-facultative,non-spinose,0.62068965513
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.89,symbiont-obligate,spinose,0.09770114942
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.89,undetermined,non-spinose,0
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.97,symbiont-barren,non-spinose,0.03745318351
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.97,symbiont-barren,spinose,0.06741573034
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.97,symbiont-bearing,non-spinose,0
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.97,symbiont-bearing,spinose,0
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.97,symbiont-facultative,non-spinose,0.61423220969
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.97,symbiont-obligate,spinose,0.10486891385
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.97,undetermined,non-spinose,0.00374531835
31-KL,Hydraulic piston core,18.75,115.87,3360,SCS,2.01,symbiont-barren,non-spinose,0.06451612904
31-KL,Hydraulic piston core,18.75,115.87,3360,SCS,2.01,symbiont-barren,spinose,0.03225806452
31-KL,Hydraulic piston core,18.75,115.87,3360,SCS,2.01,symbiont-bearing,non-spinose,0
31-KL,Hydraulic piston core,18.75,115.87,3360,SCS,2.01,symbiont-bearing,spinose,0
31-KL,Hydraulic piston core,18.75,115.87,3360,SCS,2.01,symbiont-facultative,non-spinose,0.64516129034
31-KL,Hydraulic piston core,18.75,115.87,3360,SCS,2.01,symbiont-obligate,spinose,0.09677419356
31-KL,Hydraulic piston core,18.75,115.87,3360,SCS,2.01,undetermined,non-spinose,0
31-KL,Hydraulic piston core,18.75,115.87,3360,SCS,2.05,symbiont-barren,non-spinose,0.03431372549
31-KL,Hydraulic piston core,18.75,115.87,3360,SCS,2.05,symbiont-barren,spinose,0.05882352941
31-KL,Hydraulic piston core,18.75,115.87,3360,SCS,2.05,symbiont-bearing,non-spinose,0
31-KL,Hydraulic piston core,18.75,115.87,3360,SCS,2.05,symbiont-bearing,spinose,0
31-KL,Hydraulic piston core,18.75,115.87,3360,SCS,2.05,symbiont-facultative,non-spinose,0.57843137256
31-KL,Hydraulic piston core,18.75,115.87,3360,SCS,2.05,symbiont-obligate,spinose,0.12745098038
31-KL,Hydraulic piston core,18.75,115.87,3360,SCS,2.05,undetermined,non-spinose,0.01960784314
31-KL,Hydraulic piston core,18.75,115.87,3360,SCS,2.09,symbiont-barren,non-spinose,0.0701754386
31-KL,Hydraulic piston core,18.75,115.87,3360,SCS,2.09,symbiont-barren,spinose,0.03070175439
31-KL,Hydraulic piston core,18.75,115.87,3360,SCS,2.09,symbiont-bearing,non-spinose,0
31-KL,Hydraulic piston core,18.75,115.87,3360,SCS,2.09,symbiont-bearing,spinose,0
31-KL,Hydraulic piston core,18.75,115.87,3360,SCS,2.09,symbiont-facultative,non-spinose,0.61842105269
31-KL,Hydraulic piston core,18.75,115.87,3360,SCS,2.09,symbiont-obligate,spinose,0.13157894736
31-KL,Hydraulic piston core,18.75,115.87,3360,SCS,2.09,undetermined,non-spinose,0.01315789474
