Core,Coring device,Latitude,Longitude,Water depth (m),Ocean,Sample depth - upper (m),Symbiosis,Spine,Absolute Abundance
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.5,symbiont-obligate,spinose,93
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.5,undetermined,non-spinose,0
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.55,symbiont-barren,non-spinose,97
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.55,symbiont-barren,spinose,120
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.55,symbiont-bearing,non-spinose,0
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.55,symbiont-bearing,spinose,0
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.55,symbiont-facultative,non-spinose,65
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.55,symbiont-facultative,spinose,0
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.55,symbiont-obligate,spinose,55
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.55,undetermined,non-spinose,0
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.6,symbiont-barren,non-spinose,111
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.6,symbiont-barren,spinose,88
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.6,symbiont-bearing,non-spinose,0
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.6,symbiont-bearing,spinose,0
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.6,symbiont-facultative,non-spinose,74
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.6,symbiont-facultative,spinose,0
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.6,symbiont-obligate,spinose,81
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.6,undetermined,non-spinose,0
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.65,symbiont-barren,non-spinose,99
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.65,symbiont-barren,spinose,99
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.65,symbiont-bearing,non-spinose,0
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.65,symbiont-bearing,spinose,0
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.65,symbiont-facultative,non-spinose,63
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.65,symbiont-facultative,spinose,0
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.65,symbiont-obligate,spinose,67
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.65,undetermined,non-spinose,0
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.7,symbiont-barren,non-spinose,112
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.7,symbiont-barren,spinose,99
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.7,symbiont-bearing,non-spinose,0
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.7,symbiont-bearing,spinose,0
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.7,symbiont-facultative,non-spinose,54
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.7,symbiont-facultative,spinose,0
