Event,Latitude,Longitude,Depth sed [m],Symbiosis,Spine,Absolute Abundance
MD95-2040,40.581833,-9.861167,4.16,symbiont-bearing,spinose,0
MD95-2040,40.581833,-9.861167,4.16,symbiont-facultative,non-spinose,85
MD95-2040,40.581833,-9.861167,4.16,symbiont-facultative,spinose,0
MD95-2040,40.581833,-9.861167,4.16,symbiont-obligate,spinose,27
MD95-2040,40.581833,-9.861167,4.16,undetermined,non-spinose,4
MD95-2040,40.581833,-9.861167,4.19,symbiont-barren,non-spinose,118
MD95-2040,40.581833,-9.861167,4.19,symbiont-barren,spinose,102
MD95-2040,40.581833,-9.861167,4.19,symbiont-bearing,non-spinose,0
MD95-2040,40.581833,-9.861167,4.19,symbiont-bearing,spinose,0
MD95-2040,40.581833,-9.861167,4.19,symbiont-facultative,non-spinose,61
MD95-2040,40.581833,-9.861167,4.19,symbiont-facultative,spinose,0
MD95-2040,40.581833,-9.861167,4.19,symbiont-obligate,spinose,26
MD95-2040,40.581833,-9.861167,4.19,undetermined,non-spinose,4
MD95-2040,40.581833,-9.861167,4.22,symbiont-barren,non-spinose,225
MD95-2040,40.581833,-9.861167,4.22,symbiont-barren,spinose,141
MD95-2040,40.581833,-9.861167,4.22,symbiont-bearing,non-spinose,0
MD95-2040,40.581833,-9.861167,4.22,symbiont-bearing,spinose,0
MD95-2040,40.581833,-9.861167,4.22,symbiont-facultative,non-spinose,83
MD95-2040,40.581833,-9.861167,4.22,symbiont-facultative,spinose,0
MD95-2040,40.581833,-9.861167,4.22,symbiont-obligate,spinose,49
MD95-2040,40.581833,-9.861167,4.22,undetermined,non-spinose,11
MD95-2040,40.581833,-9.861167,4.25,symbiont-barren,non-spinose,155
MD95-2040,40.581833,-9.861167,4.25,symbiont-barren,spinose,110
MD95-2040,40.581833,-9.861167,4.25,symbiont-bearing,non-spinose,0
MD95-2040,40.581833,-9.861167,4.25,symbiont-bearing,spinose,1
MD95-2040,40.581833,-9.861167,4.25,symbiont-facultative,non-spinose,77
MD95-2040,40.581833,-9.861167,4.25,symbiont-facultative,spinose,0
MD95-2040,40.581833,-9.861167,4.25,symbiont-obligate,spinose,20
MD95-2040,40.581833,-9.861167,4.25,undetermined,non-spinose,2
MD95-2040,40.581833,-9.861167,4.28,symbiont-barren,non-spinose,244
MD95-2040,40.581833,-9.861167,4.28,symbiont-barren,spinose,129
MD95-2040,40.581833,-9.861167,4.28,symbiont-bearing,non-spinose,0
MD95-2040,40.581833,-9.861167,4.28,symbiont-bearing,spinose,0
MD95-2040,40.581833,-9.861167,4.28,symbiont-facultative,non-spinose,89
MD95-2040,40.581833,-9.861167,4.28,symbiont-facultative,spinose,0
MD95-2040,40.581833,-9.861167,4.28,symbiont-obligate,spinose,39
MD95-2040,40.581833,-9.861167,4.28,undetermined,non-spinose,7
MD95-2040,40.581833,-9.861167,4.31,symbiont-barren,non-spinose,228
MD95-2040,40.581833,-9.861167,4.31,symbiont-barren,spinose,173
MD95-2040,40.581833,-9.861167,4.31,symbiont-bearing,non-spinose,0
MD95-2040,40.581833,-9.861167,4.31,symbiont-bearing,spinose,0
MD95-2040,40.581833,-9.861167,4.31,symbiont-facultative,non-spinose,73
MD95-2040,40.581833,-9.861167,4.31,symbiont-facultative,spinose,1
MD95-2040,40.581833,-9.861167,4.31,symbiont-obligate,spinose,68
MD95-2040,40.581833,-9.861167,4.31,undetermined,non-spinose,6
MD95-2040,40.581833,-9.861167,4.34,symbiont-barren,non-spinose,830
MD95-2040,40.581833,-9.861167,4.34,symbiont-barren,spinose,385
MD95-2040,40.581833,-9.861167,4.34,symbiont-bearing,non-spinose,0
MD95-2040,40.581833,-9.861167,4.34,symbiont-bearing,spinose,1
MD95-2040,40.581833,-9.861167,4.34,symbiont-facultative,non-spinose,500
MD95-2040,40.581833,-9.861167,4.34,symbiont-facultative,spinose,0
MD95-2040,40.581833,-9.861167,4.34,symbiont-obligate,spinose,40
MD95-2040,40.581833,-9.861167,4.34,undetermined,non-spinose,9
MD95-2040,40.581833,-9.861167,4.37,symbiont-barren,non-spinose,152
MD95-2040,40.581833,-9.861167,4.37,symbiont-barren,spinose,68
MD95-2040,40.581833,-9.861167,4.37,symbiont-bearing,non-spinose,0
MD95-2040,40.581833,-9.861167,4.37,symbiont-bearing,spinose,0
MD95-2040,40.581833,-9.861167,4.37,symbiont-facultative,non-spinose,53
MD95-2040,40.581833,-9.861167,4.37,symbiont-facultative,spinose,0
MD95-2040,40.581833,-9.861167,4.37,symbiont-obligate,spinose,30
MD95-2040,40.581833,-9.861167,4.37,undetermined,non-spinose,2
MD95-2040,40.581833,-9.861167,4.4,symbiont-barren,non-spinose,302
MD95-2040,40.581833,-9.861167,4.4,symbiont-barren,spinose,130
MD95-2040,40.581833,-9.861167,4.4,symbiont-bearing,non-spinose,0
MD95-2040,40.581833,-9.861167,4.4,symbiont-bearing,spinose,0
MD95-2040,40.581833,-9.861167,4.4,symbiont-facultative,non-spinose,102
MD95-2040,40.581833,-9.861167,4.4,symbiont-facultative,spinose,0
MD95-2040,40.581833,-9.861167,4.4,symbiont-obligate,spinose,33
MD95-2040,40.581833,-9.861167,4.4,undetermined,non-spinose,4
MD95-2040,40.581833,-9.861167,4.43,symbiont-barren,non-spinose,317
MD95-2040,40.581833,-9.861167,4.43,symbiont-barren,spinose,168
MD95-2040,40.581833,-9.861167,4.43,symbiont-bearing,non-spinose,0
MD95-2040,40.581833,-9.861167,4.43,symbiont-bearing,spinose,1
MD95-2040,40.581833,-9.861167,4.43,symbiont-facultative,non-spinose,149
MD95-2040,40.581833,-9.861167,4.43,symbiont-facultative,spinose,0
MD95-2040,40.581833,-9.861167,4.43,symbiont-obligate,spinose,46
MD95-2040,40.581833,-9.861167,4.43,undetermined,non-spinose,5
MD95-2040,40.581833,-9.861167,4.46,symbiont-barren,non-spinose,419
MD95-2040,40.581833,-9.861167,4.46,symbiont-barren,spinose,200
MD95-2040,40.581833,-9.861167,4.46,symbiont-bearing,non-spinose,0
MD95-2040,40.581833,-9.861167,4.46,symbiont-bearing,spinose,1
MD95-2040,40.581833,-9.861167,4.46,symbiont-facultative,non-spinose,159
MD95-2040,40.581833,-9.861167,4.46,symbiont-facultative,spinose,0
MD95-2040,40.581833,-9.861167,4.46,symbiont-obligate,spinose,42
MD95-2040,40.581833,-9.861167,4.46,undetermined,non-spinose,9
MD95-2040,40.581833,-9.861167,4.49,symbiont-barren,non-spinose,332
MD95-2040,40.581833,-9.861167,4.49,symbiont-barren,spinose,163
MD95-2040,40.581833,-9.861167,4.49,symbiont-bearing,non-spinose,0
MD95-2040,40.581833,-9.861167,4.49,symbiont-bearing,spinose,0
MD95-2040,40.581833,-9.861167,4.49,symbiont-facultative,non-spinose,150
MD95-2040,40.581833,-9.861167,4.49,symbiont-facultative,spinose,0
MD95-2040,40.581833,-9.861167,4.49,symbiont-obligate,spinose,50
MD95-2040,40.581833,-9.861167,4.49,undetermined,non-spinose,9
MD95-2040,40.581833,-9.861167,4.52,symbiont-barren,non-spinose,476
MD95-2040,40.581833,-9.861167,4.52,symbiont-barren,spinose,181
MD95-2040,40.581833,-9.861167,4.52,symbiont-bearing,non-spinose,0
MD95-2040,40.581833,-9.861167,4.52,symbiont-bearing,spinose,1
MD95-2040,40.581833,-9.861167,4.52,symbiont-facultative,non-spinose,117
MD95-2040,40.581833,-9.861167,4.52,symbiont-facultative,spinose,0
MD95-2040,40.581833,-9.861167,4.52,symbiont-obligate,spinose,27
MD95-2040,40.581833,-9.861167,4.52,undetermined,non-spinose,7
MD95-2040,40.581833,-9.861167,4.55,symbiont-barren,non-spinose,288
MD95-2040,40.581833,-9.861167,4.55,symbiont-barren,spinose,174
MD95-2040,40.581833,-9.861167,4.55,symbiont-bearing,non-spinose,0
MD95-2040,40.581833,-9.861167,4.55,symbiont-bearing,spinose,1
MD95-2040,40.581833,-9.861167,4.55,symbiont-facultative,non-spinose,117
MD95-2040,40.581833,-9.861167,4.55,symbiont-facultative,spinose,0
MD95-2040,40.581833,-9.861167,4.55,symbiont-obligate,spinose,42
MD95-2040,40.581833,-9.861167,4.55,undetermined,non-spinose,4
MD95-2040,40.581833,-9.861167,4.58,symbiont-barren,non-spinose,233
MD95-2040,40.581833,-9.861167,4.58,symbiont-barren,spinose,107
MD95-2040,40.581833,-9.861167,4.58,symbiont-bearing,non-spinose,0
MD95-2040,40.581833,-9.861167,4.58,symbiont-bearing,spinose,0
MD95-2040,40.581833,-9.861167,4.58,symbiont-facultative,non-spinose,86
MD95-2040,40.581833,-9.861167,4.58,symbiont-facultative,spinose,0
MD95-2040,40.581833,-9.861167,4.58,symbiont-obligate,spinose,48
MD95-2040,40.581833,-9.861167,4.58,undetermined,non-spinose,4
MD95-2040,40.581833,-9.861167,4.61,symbiont-barren,non-spinose,259
MD95-2040,40.581833,-9.861167,4.61,symbiont-barren,spinose,161
MD95-2040,40.581833,-9.861167,4.61,symbiont-bearing,non-spinose,0
MD95-2040,40.581833,-9.861167,4.61,symbiont-bearing,spinose,0
MD95-2040,40.581833,-9.861167,4.61,symbiont-facultative,non-spinose,109
MD95-2040,40.581833,-9.861167,4.61,symbiont-facultative,spinose,0
MD95-2040,40.581833,-9.861167,4.61,symbiont-obligate,spinose,44
MD95-2040,40.581833,-9.861167,4.61,undetermined,non-spinose,6
MD95-2040,40.581833,-9.861167,4.64,symbiont-barren,non-spinose,288
MD95-2040,40.581833,-9.861167,4.64,symbiont-barren,spinose,185
MD95-2040,40.581833,-9.861167,4.64,symbiont-bearing,non-spinose,0
MD95-2040,40.581833,-9.861167,4.64,symbiont-bearing,spinose,1
MD95-2040,40.581833,-9.861167,4.64,symbiont-facultative,non-spinose,132
MD95-2040,40.581833,-9.861167,4.64,symbiont-facultative,spinose,0
MD95-2040,40.581833,-9.861167,4.64,symbiont-obligate,spinose,34
MD95-2040,40.581833,-9.861167,4.64,undetermined,non-spinose,2
MD95-2040,40.581833,-9.861167,4.67,symbiont-barren,non-spinose,384
MD95-2040,40.581833,-9.861167,4.67,symbiont-barren,spinose,245
MD95-2040,40.581833,-9.861167,4.67,symbiont-bearing,non-spinose,0
MD95-2040,40.581833,-9.861167,4.67,symbiont-bearing,spinose,1
MD95-2040,40.581833,-9.861167,4.67,symbiont-facultative,non-spinose,172
MD95-2040,40.581833,-9.861167,4.67,symbiont-facultative,spinose,0
MD95-2040,40.581833,-9.861167,4.67,symbiont-obligate,spinose,30
MD95-2040,40.581833,-9.861167,4.67,undetermined,non-spinose,7
MD95-2040,40.581833,-9.861167,4.7,symbiont-barren,non-spinose,236
MD95-2040,40.581833,-9.861167,4.7,symbiont-barren,spinose,175
MD95-2040,40.581833,-9.861167,4.7,symbiont-bearing,non-spinose,0
MD95-2040,40.581833,-9.861167,4.7,symbiont-bearing,spinose,0
MD95-2040,40.581833,-9.861167,4.7,symbiont-facultative,non-spinose,113
MD95-2040,40.581833,-9.861167,4.7,symbiont-facultative,spinose,0
MD95-2040,40.581833,-9.861167,4.7,symbiont-obligate,spinose,48
MD95-2040,40.581833,-9.861167,4.7,undetermined,non-spinose,9
MD95-2040,40.581833,-9.861167,4.73,symbiont-barren,non-spinose,309
MD95-2040,40.581833,-9.861167,4.73,symbiont-barren,spinose,172
MD95-2040,40.581833,-9.861167,4.73,symbiont-bearing,non-spinose,0
MD95-2040,40.581833,-9.861167,4.73,symbiont-bearing,spinose,0
