Event,Latitude,Longitude,Depth sed,Symbiosis,Spine,Elevation,total,Relative Abundance
MD77-171,11.46,94.09,2.61,symbiont-barren,spinose,-5280,300.3,0.112
MD77-171,11.46,94.09,2.61,symbiont-bearing,spinose,-5280,300.3,0.125
MD77-171,11.46,94.09,2.61,symbiont-facultative,non-spinose,-7040,400.40000000000003,0.17099999999999999
MD77-171,11.46,94.09,2.61,symbiont-obligate,spinose,-10560,600.6,0.384
MD77-171,11.46,94.09,2.61,undetermined,non-spinose,-3520,200.20000000000002,0.043000000000000003
MD77-179,18.22,91.01,0.52,symbiont-barren,non-spinose,-13902,700.7,0.326
MD77-179,18.22,91.01,0.52,symbiont-barren,spinose,-5958,300.3,0.117
MD77-179,18.22,91.01,0.52,symbiont-bearing,spinose,-5958,300.3,0.089
MD77-179,18.22,91.01,0.52,symbiont-facultative,non-spinose,-7944,400.40000000000003,0.187
MD77-179,18.22,91.01,0.52,symbiont-obligate,spinose,-11916,600.6,0.258
MD77-179,18.22,91.01,0.52,undetermined,non-spinose,-3972,200.20000000000002,0.024
MD77-180,18.28,89.51,1.81,symbiont-barren,non-spinose,-13902,697.9000000000002,0.263
MD77-180,18.28,89.51,1.81,symbiont-barren,spinose,-5958,299.1,0.11800000000000001
MD77-180,18.28,89.51,1.81,symbiont-bearing,spinose,-5958,299.1,0.051000000000000004
MD77-180,18.28,89.51,1.81,symbiont-facultative,non-spinose,-7944,398.80000000000007,0.135
MD77-180,18.28,89.51,1.81,symbiont-obligate,spinose,-11916,598.2000000000002,0.378
MD77-180,18.28,89.51,1.81,undetermined,non-spinose,-3972,199.40000000000003,0.052000000000000005
MD77-191,7.3,76.43,6.72,symbiont-barren,non-spinose,-8778,700,0.171
MD77-191,7.3,76.43,6.72,symbiont-barren,spinose,-3762,300,0.318
MD77-191,7.3,76.43,6.72,symbiont-bearing,spinose,-3762,300,0.082
MD77-191,7.3,76.43,6.72,symbiont-facultative,non-spinose,-5016,400,0.217
MD77-191,7.3,76.43,6.72,symbiont-obligate,spinose,-7524,600,0.194
MD77-191,7.3,76.43,6.72,undetermined,non-spinose,-2508,200,0.018000000000000002
MD77-194,10.467,75.233,3.11,symbiont-barren,non-spinose,-8554,700,0.14200000000000002
MD77-194,10.467,75.233,3.11,symbiont-barren,spinose,-3666,300,0.27699999999999997
MD77-194,10.467,75.233,3.11,symbiont-bearing,spinose,-3666,300,0.095
MD77-194,10.467,75.233,3.11,symbiont-facultative,non-spinose,-4888,400,0.119
MD77-194,10.467,75.233,3.11,symbiont-obligate,spinose,-7332,600,0.34400000000000003
MD77-194,10.467,75.233,3.11,undetermined,non-spinose,-2444,200,0.023
MD77-203,20.698,59.568,3.41,symbiont-barren,non-spinose,-17094,700,0.058
MD77-203,20.698,59.568,3.41,symbiont-barren,spinose,-7326,300,0.306
MD77-203,20.698,59.568,3.41,symbiont-bearing,spinose,-7326,300,0.014000000000000002
MD77-203,20.698,59.568,3.41,symbiont-facultative,non-spinose,-9768,400,0.045000000000000005
MD77-203,20.698,59.568,3.41,symbiont-obligate,spinose,-14652,600,0.548
MD77-203,20.698,59.568,3.41,undetermined,non-spinose,-4884,200,0.028999999999999998
RC08-145,33.583,-62.38,0.35,symbiont-barren,non-spinose,-19201,700.7,0.253
RC08-145,33.583,-62.38,0.35,symbiont-barren,spinose,-8229,300.29999999999995,0.229
RC08-145,33.583,-62.38,0.35,symbiont-bearing,spinose,-8229,300.29999999999995,0.022
RC08-145,33.583,-62.38,0.35,symbiont-facultative,non-spinose,-10972,400.4,0.274
