Latitude,Longitude,symbiont-barren spinose,undetermined non-spinose,symbiont-facultative non-spinose,symbiont-obligate spinose,symbiont-barren non-spinose,symbiont-bearing spinose,symbiont-bearing non-spinose,symbiont-facultative spinose
11.117,-80.4,0.003225806,0,0.196774193,0.680645161,0.061290322,0.048387097,0,0
72.433,-13.65,0.00212766,0,0,0,0.995744681,0,0,0
73.483,-0.833,0,0,0.001574803,0.003149606,0.990551181,0,0,0
72.183,5.267,0.238546604,0,0.007898894,0,0.747235387,0,0,0
71.167,-1.617,0.0594476165,0,0.00147929,0,0.932448635,0,0,0
62.9,0.583,0.035714286,0,0.040476191,0,0.921428571,0,0,0
64.833,-3.583,0.1722781045,0,0.0029683,0,0.8195458585,0,0,0
68.717,-12.72,0.0028530815,0,0,0,0.994974109,0,0,0
72.0667,-9.0667,0.004132231,0,0,0,0.993801653,0,0,0
69.383,-4.4,0.034257749,0,0.003262643,0,0.960848287,0,0,0
67.683,0.233,0.175906393666667,0,0.005707779,0,0.814107131666667,0,0,0
74.483,11.667,0.02020202,0,0,0,0.97979798,0,0,0
64.0833,-4.0167,0.205782313,0,0.010204081,0,0.784013606,0,0,0
26.783,-50.83,0.018666667,0,0.072,0.728000001,0.053333333,0.024,0,0
14.15,88.083,0.049535603,0.092879257,0.507739938,0.300309598,0.024767802,0.024767801,0,0
16.383,-17.92,0.1767295755,0,0.3198987855,0.228335305,0.245296071,0.015640481,0,0
22.467,-20.07,0.0060185445,0,0.16095532,0.633790375,0.131892853,0.038614467,0,0.0100309075
41.533,-25.72,0.247619047,0,0.233333333,0.190476192,0.311904761,0.002380952,0,0
42.85,-25.15,0.194495413,0,0.223853211,0.236697247,0.321100917,0.00733945,0,0
45.3,-23.87,0.207723036,0,0.210386152,0.153129161,0.399467377,0.003994674,0,0
52.367,-17.53,0.198051948,0,0.225927134,0.0295214995,0.5309894195,0,0,0
58.733,-15.57,0.307692307,0,0.224358974,0.001602564,0.4375,0,0,0
59.95,-19.2,0.3209614125,0,0.289823643,0.005992335,0.37603697,0,0,0
60.383,-20.97,0.2374511045,0,0.274301262,0.006154574,0.4728611985,0,0,0
61.55,-25.12,0.293532338,0,0.305970149,0.002487562,0.37562189,0,0,0
66.733,-6.733,0.327176781,0,0,0,0.664907652,0,0,0
67.783,-6.667,0.283557047,0,0.001677852,0,0.704697986,0,0,0
72.967,-6.983,0.009202454,0,0,0,0.984662577,0,0,0
68.383,-5.417,0.137777778,0,0.004444444,0,0.857777778,0,0,0
65.167,-0.067,0.314420803,0,0.023640662,0,0.654846335,0,0,0
