Latitude,Longitude,symbiont-barren spinose,undetermined non-spinose,symbiont-facultative non-spinose,symbiont-obligate spinose,symbiont-barren non-spinose,symbiont-bearing spinose,symbiont-bearing non-spinose,symbiont-facultative spinose
60.65,-7.433,52,0,8,0,785,0,0,0
14.933,-73.92,1,0,79,146,15,4,0,0
13.933,-72.37,2,0,130,146,30,2,0,0
17.033,-76.6,3,0,67,259,25,17,0,0
10.983,-81.15,0,0,87,125,15,3,0,0
11.117,-80.4,1,0,61,211,19,15,0,0
72.433,-13.65,1,0,0,0,468,0,0,0
73.483,-0.833,0,0,1,2,629,0,0,0
72.183,5.267,151,0,5,0,473,0,0,0
71.167,-1.617,31,0,0.5,0,477.5,0,0,0
62.9,0.583,15,0,17,0,387,0,0,0
64.833,-3.583,78.5,0,1.5,0,426,0,0,0
68.717,-12.72,1.5,0,0,0,532.5,0,0,0
72.0667,-9.0667,2,0,0,0,481,0,0,0
69.383,-4.4,21,0,2,0,589,0,0,0
67.683,0.233,100.666666666667,0,3,0,496,0,0,0
74.483,11.667,8,0,0,0,388,0,0,0
64.0833,-4.0167,121,0,6,0,461,0,0,0
26.783,-50.83,7,0,27,273,20,9,0,0
14.15,88.083,16,30,164,97,8,8,0,0
16.383,-17.92,80.5,0,145.5,103.5,111.5,7,0,0
22.467,-20.07,3,0,79.5,313,65,19,0,5
41.533,-25.72,104,0,98,80,131,1,0,0
42.85,-25.15,106,0,122,129,175,4,0,0
45.3,-23.87,156,0,158,115,300,3,0,0
52.367,-17.53,145,0,166,22,393,0,0,0
58.733,-15.57,192,0,140,1,273,0,0,0
59.95,-19.2,134,0,121,2.5,157,0,0,0
60.383,-20.97,74.5,0,85.5,2,147.5,0,0,0
61.55,-25.12,118,0,123,1,151,0,0,0
66.733,-6.733,248,0,0,0,504,0,0,0
67.783,-6.667,169,0,1,0,420,0,0,0
72.967,-6.983,3,0,0,0,321,0,0,0
68.383,-5.417,62,0,2,0,386,0,0,0
65.167,-0.067,133,0,10,0,277,0,0,0
