Event,Data_Source,Depth [m],Latitude,Longitude,symbiont-barren non-spinose,symbiont-barren spinose,symbiont-bearing non-spinose,symbiont-obligate spinose,symbiont-bearing spinose,symbiont-facultative non-spinose,undetermined non-spinose,symbiont-facultative spinose,undetermined spinose,SST
GeoB2109-1,epilog,0.48,-27.9117,-45.8817,55,16.0,0.0,188.0,18.0,125.0,8.0,0.0,,20.98442417067168
GeoB2109-1,epilog,0.53,-27.9117,-45.8817,51,23.0,0.0,161.0,20.0,91.0,6.0,0.0,,20.98442417067168
GeoB2109-1,epilog,0.58,-27.9117,-45.8817,84,25.0,0.0,179.0,28.0,189.0,6.0,0.0,,20.98442417067168
GeoB2109-1,epilog,0.63,-27.9117,-45.8817,86,23.0,0.0,264.0,58.0,153.0,4.0,0.0,,20.98442417067168
GeoB2116-4,epilog,0.28,-25.5117,-35.9983,75,8.0,0.0,68.0,0.0,43.0,0.0,0.0,,21.01955585212759
GeoB2117-1,epilog,0.23,-23.0383,-36.6517,22,42.0,0.0,337.0,11.0,39.0,2.0,0.0,,21.557645812353854
GeoB2125-1,epilog,0.33,-20.8233,-39.8633,18,12.0,0.0,322.0,29.0,197.0,7.0,0.0,,21.929142338974707
GeoB2125-1,epilog,0.38,-20.8233,-39.8633,15,10.0,0.0,361.0,36.0,236.0,1.0,4.0,,21.929142338974707
GeoB2202-4,epilog,0.78,-8.1983,-34.265,31,6.0,0.0,598.0,22.0,124.0,16.0,0.0,,22.923181140615668
GeoB2202-4,epilog,0.83,-8.1983,-34.265,30,9.0,0.0,567.0,29.0,135.0,18.0,0.0,,22.923181140615668
GeoB2202-4,epilog,0.88,-8.1983,-34.265,24,15.0,0.0,537.0,49.0,152.0,4.0,0.0,,22.923181140615668
