Latitude,Longitude,symbiont-barren non-spinose,symbiont-barren spinose,symbiont-bearing spinose,symbiont-facultative non-spinose,symbiont-obligate spinose,undetermined non-spinose,symbiont-bearing non-spinose,symbiont-facultative spinose,SST
0.2,-39.9,0.264,0.013,0.017,0.393,0.531,0.0,0.0,0.0,22.971638534169248
15.4,-43.4,0.0986666666666667,0.0096666666666666,0.0203333333333333,0.0316666666666667,0.533,0.0,0.0,0.0,20.70640636830757
5.067,-36.8,0.079,0.019,0.022,0.153,0.761,0.006,0.0,0.0,23.303024846806583
-19.37,-11.43,0.181,0.022,0.077,0.184,0.534,0.0,0.0,0.0,18.096331329269717
32.75,-41.9,0.122666666666667,0.149333333333333,0.002,0.359,0.288,0.0,0.0,0.007,19.748555867496805
11.75,-80.43,0.165,0.009,0.036,0.048,0.74,0.0,0.0,0.0,22.865799337290394
-53.58,-44.7,0.976,0.01,0.0,0.013,0.0,0.0,0.0,0.0,0.06547473405110397
-2.85,-126.2,0.230521505376344,0.0472132616487455,0.008584229390681,0.471385304659498,0.056084229390681,0.0128763440860215,0.0,0.0,21.398194409681548
3.167,-118.5,0.077,0.015,0.0,0.809,0.091,0.01,0.0,0.0,21.766863199383092
15.033,-80.23,0.0946666666666667,0.023,0.034,0.199333333333333,0.511,0.0,0.0,0.001,
8.117,73.25,0.33,0.111,0.089,0.141,0.308,0.022,0.0,0.0,25.27068338853743
6.7,59.333,0.391,0.124,0.027,0.151,0.291,0.013,0.0,0.0,24.4165031204347
6.867,60.667,0.268,0.125,0.051,0.23,0.317,0.009,0.0,0.0,24.59653765189613
13.233,-78.37,0.097,0.01,0.034,0.065,0.789,0.0,0.0,0.0,22.505910992533256
-5.333,40.433,0.53,0.132,0.124,0.43,0.782,0.0,0.0,0.0,23.82749185732429
-6.983,41.183,0.295,0.103,0.062,0.125,0.414,0.004,0.0,0.0,23.840210530004917
-10.23,43.817,0.291,0.074,0.0069999999999999,0.198,0.432,0.0,0.0,0.0,23.693230037926554
11.8,-79.07,0.146,0.011,0.047,0.08,0.716,0.0,0.0,0.0,22.820474555227307
-30.58,13.283,0.476,0.143,0.003,0.26,0.119,0.0,0.0,0.0,15.092415109067652
-24.57,4.833,0.23,0.128,0.044,0.426,0.171,0.0,0.0,0.0,15.670919664292166
-3.317,4.65,0.168,0.13,0.0,0.329,0.373,0.0,0.0,0.0,22.609398858149618
-1.283,5.533,0.155,0.043,0.01,0.389,0.401,0.0,0.0,0.0,22.64933894538511
-3.583,-83.93,0.434,0.596,0.002,0.937,0.034,0.0,0.0,0.0,21.525048537443517
2.0,-5.25,0.111,0.054,0.002,0.322,0.509,0.0,0.0,0.0,23.396821355463647
31.167,-45.13,0.184,0.089,0.005,0.35,0.371,0.0,0.0,0.0,20.484172157239932
-17.02,-113.5,0.131,0.01,0.016,0.408,0.221,0.214,0.0,0.0,21.174563590720528
-17.0,-114.2,0.398,0.044,0.037,0.076,0.395,0.053,0.0,0.0,21.529977226535138
-16.93,-121.2,0.393,0.028,0.04,0.018,0.497,0.023,0.0,0.0,22.54487053133474
-16.65,-124.4,0.387,0.014,0.016,0.032,0.515,0.035,0.0,0.0,22.935268556825974
-0.867,172.0,0.141,0.116,0.004,0.45,0.282,0.0069999999999999,0.0,0.0,24.64557087156309
47.95,168.78,0.904,0.094,0.0,0.0,0.002,0.0,0.0,0.0,2.4986144807469914
-21.8,69.233,0.2,0.014,0.079,0.03,0.672,0.003,0.0,0.0,20.754139799296986
-22.3,68.0,0.152867109634552,0.0272890365448505,0.0477724252491695,0.107845514950166,0.629503322259136,0.0,0.0,0.0033222591362126,20.567692209276256
-28.22,-10.03,0.278,0.029,0.06,0.216,0.418,0.0,0.0,0.0,17.46903275664273
-4.233,-34.63,0.268,0.006,0.003,0.158,0.566,0.0,0.0,0.0,23.35342954131342
-2.483,-36.42,0.092,0.002,0.018,0.108,0.779,0.0,0.0,0.0,23.365174473201556
22.133,-41.5,0.179,0.01,0.097,0.013,0.701,0.0,0.0,0.0,19.322204694267477
23.367,-43.65,0.179,0.008,0.088,0.013,0.711,0.0,0.0,0.0,19.676431200805645
37.683,163.03,0.348,0.072,0.0,0.573,0.007,0.0,0.0,0.0,10.722368575957574
-1.217,-89.68,0.201,0.465,0.004,0.295,0.037,0.0,0.0,0.0,20.019428752668944
-3.8,-92.08,0.176,0.128,0.0,0.686,0.01,0.0,0.0,0.0,19.72727359008882
-17.47,-5.183,0.272,0.026,0.0,0.457,0.244,0.0,0.0,0.0,17.827978535545004
-13.1,-9.333,0.464,0.073,0.057,0.313,1.095,0.0,0.0,0.0,19.941557940321164
-12.67,-9.817,0.19,0.027,0.028,0.214,0.539,0.0,0.0,0.0,20.377950485365048
-10.07,-12.82,0.210666666666667,0.129666666666667,0.0786666666666667,0.504333333333333,0.690666666666667,0.0,0.0,0.003,21.478513917245735
-7.75,-14.6,0.27,0.062,0.03,0.324,0.445,0.0,0.0,0.0,22.524126637114755
-0.533,-17.27,0.286,0.065,0.003,0.579,0.192,0.0,0.0,0.0,22.2837740518665
3.383,-20.12,0.163,0.022,0.008,1.057,0.751,0.0,0.0,0.0,24.18807326986478
4.667,-20.92,0.366,0.077,0.111,0.376,1.072,0.0,0.0,0.0,24.327819850971032
13.833,-18.97,0.103,0.15,0.008,0.542,0.197,0.0,0.0,0.0,23.037870236136783
14.167,-18.58,0.249333333333333,0.227666666666667,0.0,0.266666666666667,0.146666666666667,0.0,0.0,0.0,22.551974350236605
28.933,-43.65,0.142,0.02,0.077,0.086,0.621,0.0,0.0,0.0,20.207559542015723
