Event,Data_Source,Depth [m],Latitude,Longitude,symbiont-barren non-spinose,symbiont-barren spinose,symbiont-bearing spinose,symbiont-facultative non-spinose,symbiont-obligate spinose,undetermined non-spinose,symbiont-bearing non-spinose,symbiont-facultative spinose
MD992344,margo,2.53,41.997,4.836,0.041025641025641,0.933333333333333,0,0.0102564102564103,0.0153846153846154,0,0,0
MD992344,margo,2.63,41.997,4.836,0.198620689655172,0.693793103448276,0,0.0896551724137931,0.0179310344827586,0,0,0
MD992344,margo,2.69,41.997,4.836,0.0826446280991736,0.851239669421488,0,0.0661157024793388,0,0,0,0
MD992346,margo,6.195,42.044,4.151,0.129593810444874,0.760154738878143,0,0.102514506769826,0.00773694390715667,0,0,0
MD992346,margo,6.295,42.044,4.151,0.168612930788949,0.662774138422102,0,0.159498718313871,0.00911421247507833,0,0,0
MD992346,margo,6.385,42.044,4.151,0.167958656330749,0.710594315245478,0,0.10077519379845,0.020671834625323,0,0,0
MD992346,margo,6.525,42.044,4.151,0.148063781321185,0.703872437357631,0,0.123006833712984,0.0250569476082005,0,0,0
MD992346,margo,6.625,42.044,4.151,0.0423625254582485,0.859877800407332,0,0.0977596741344195,0,0,0,0
MD992346,margo,6.725,42.044,4.151,0.134860050890585,0.758269720101781,0,0.0966921119592875,0.0101781170483461,0,0,0
MD992346,margo,6.915,42.044,4.151,0.134343101745143,0.768192295027988,0,0.0974646032268686,0,0,0,0
MD992346,margo,7.115,42.044,4.151,0.0446511627906977,0.826976744186047,0,0.115348837209302,0.0130232558139535,0,0,0
MD992346,margo,7.285,42.044,4.151,0.0553191489361702,0.787234042553192,0,0.148936170212766,0.00851063829787234,0,0,0
MD992346,margo,7.485,42.044,4.151,0.0732600732600733,0.821245421245421,0,0.105494505494506,0,0,0,0
MD992346,margo,7.59,42.044,4.151,0.0849772382397572,0.869499241274659,0,0.039453717754173,0.00606980273141123,0,0,0
MD992346,margo,7.685,42.044,4.151,0.06494960806271,0.784994400895857,0,0.145576707726764,0.00447928331466965,0,0,0
MD992346,margo,7.79,42.044,4.151,0.111111111111111,0.695652173913044,0,0.185990338164251,0.0072463768115942,0,0,0
MD992346,margo,7.885,42.044,4.151,0.210526315789474,0.575982209043736,0,0.210526315789474,0.00296515937731653,0,0,0
MD992346,margo,8,42.044,4.151,0.272189349112426,0.575936883629191,0,0.145956607495069,0.00591715976331361,0,0,0
MD992346,margo,8.04,42.044,4.151,0.281376518218623,0.62753036437247,0,0.0910931174089069,0,0,0,0
MD992346,margo,8.07,42.044,4.151,0.295907660020986,0.607555089192025,0,0.0944386149003148,0.00209863588667366,0,0,0
MD992346,margo,8.08,42.044,4.151,0.357775987107172,0.580983078162772,0,0.0580177276390008,0.0032232070910556,0,0,0
MD992346,margo,8.085,42.044,4.151,0.335146898803047,0.579978237214363,0,0.0848748639825898,0,0,0,0
MD992346,margo,8.1,42.044,4.151,0.293447293447293,0.601139601139601,0,0.105413105413105,0,0,0,0
MD992346,margo,8.15,42.044,4.151,0.230248306997743,0.708803611738149,0,0.0609480812641084,0,0,0,0
MD992346,margo,8.2,42.044,4.151,0.167002012072435,0.720321931589537,0,0.0925553319919517,0.0201207243460765,0,0,0
MD992346,margo,8.255,42.044,4.151,0.263157894736842,0.40080971659919,0.00404858299595142,0.259109311740891,0.0728744939271255,0,0,0
NA87-22,margo,3.8,55.5,-14.5833,0.909,0.031,0,0.061,0,0,0,0
NA87-22,margo,3.9,55.5,-14.5833,0.941,0.028,0,0.032,0,0,0,0
NA87-22,margo,4,55.5,-14.5833,0.888,0.092,0,0.021,0,0,0,0
NA87-22,margo,4.1,55.5,-14.5833,0.918,0.041,0,0.041,0,0,0,0
NA87-22,margo,4.2,55.5,-14.5833,0.892,0.049,0,0.058,0,0,0,0
NA87-22,margo,4.3,55.5,-14.5833,0.916,0.071,0,0.013,0,0,0,0
NA87-22,margo,4.4,55.5,-14.5833,0.948,0.033,0,0.019,0,0,0,0
OD-041-04,margo,0.14,84.0292,11.2383,0.993,0,0,0.007,0,0,0,0
OD-041-04,margo,0.15,84.0292,11.2383,0.998,0.001,0,0.001,0,0,0,0
ODP 969,margo,0.605,33.839,24.884,0.467692307692308,0.2,0,0.0984615384615385,0.233846153846154,0,0,0
ODP 969,margo,0.625,33.839,24.884,0.443548387096774,0.157258064516129,0,0.0967741935483871,0.30241935483871,0,0,0
ODP 969,margo,0.645,33.839,24.884,0.409411764705882,0.134117647058824,0.00235294117647059,0.127058823529412,0.327058823529412,0,0,0
ODP 969,margo,0.665,33.839,24.884,0.408955223880597,0.170149253731343,0.00298507462686567,0.125373134328358,0.292537313432836,0,0,0
ODP 969,margo,0.685,33.839,24.884,0.354166666666667,0.12797619047619,0,0.160714285714286,0.357142857142857,0,0,0
ODP 973,margo,0.945,35.78,18.948,0.482758620689655,0.193103448275862,0.00689655172413793,0.213793103448276,0.103448275862069,0,0,0
ODP 973,margo,0.985,35.78,18.948,0.416438356164384,0.186301369863014,0.00821917808219178,0.131506849315068,0.257534246575343,0,0,0
ODP 975,margo,1.13,38.89,4.5,0.296610169491525,0.501694915254237,0,0.198305084745763,0.00338983050847458,0,0,0
ODP 975,margo,1.165,38.89,4.5,0.223325062034739,0.543424317617866,0,0.228287841191067,0.00496277915632754,0,0,0
ODP 975,margo,1.225,38.89,4.5,0.273972602739726,0.586301369863014,0,0.132876712328767,0.00684931506849315,0,0,0
ODP 975,margo,1.285,38.89,4.5,0.22271714922049,0.55902004454343,0,0.124721603563474,0.0935412026726058,0,0,0
ODP 975,margo,1.325,38.89,4.5,0.31021897810219,0.507299270072993,0,0.124087591240876,0.0583941605839416,0,0,0
ODP 977,margo,3.56,36.19,-1.573,0.888095238095238,0.0833333333333333,0.00238095238095238,0.0166666666666667,0.00952380952380953,0,0,0
ODP 977,margo,3.66,36.19,-1.573,0.912175648702595,0.0538922155688623,0,0.0239520958083832,0.00998003992015968,0,0,0
ODP 977,margo,3.76,36.19,-1.573,0.869179600886918,0.0931263858093126,0.00221729490022173,0.0288248337028825,0.00665188470066519,0,0,0
ODP 977,margo,3.96,36.19,-1.573,0.819253438113949,0.141453831041257,0.00196463654223969,0.0275049115913556,0.00982318271119843,0,0,0
ODP 977,margo,4.02,36.19,-1.573,0.731382978723404,0.218085106382979,0.00265957446808511,0.0398936170212766,0.00797872340425532,0,0,0
ODP Site 883D,margo,116,51.199,167.768,0.89535798586,0.089693155,0,0,0,0,0,
ODP Site 883D,margo,120,51.199,167.768,0.8801089918,0.1117166213,0,0,0,0,0,
ODP Site 883D,margo,123,51.199,167.768,0.8574660633,0.1312217195,0,0,0,0,0,
ODP Site 883D,margo,126,51.199,167.768,0.8668171558,0.1264108352,0,0,0,0,0,
ODP Site 883D,margo,130,51.199,167.768,0.8551912568,0.13114754094,0,0.00546448087,0,0,0,
ODP Site 883D,margo,133,51.199,167.768,0.8523809524,0.1285714286,0,0,0,0,0,
ODP Site 883D,margo,136,51.199,167.768,0.9032967033,0.08791208791,0,0,0.0021978022,0,0,
ODP Site 883D,margo,140,51.199,167.768,0.9258426966,0.05617977528,0,0,0,0,0,
ODP Site 883D,margo,143,51.199,167.768,0.9255411255,0.07272727273,0,0,0,0,0,
ODP Site 883D,margo,145,51.199,167.768,0.89592760184,0.08823529412,0,0,0,0,0,
ODP site 828,margo,12.38,-15.2889,166.2839,0.0387,0.0774,0.0128,0.3356,0.5221,0,0,0
