Data_Source,Latitude,Longitude,O. universa,G. conglobatus,G. ruber albus,G. tenellus,T. sacculifer,S. dehiscens,G. siphonifera,G. calida,G. bulloides,G. falconensis,B. digitata,G. rubescens,T. quinqueloba,N. pachyderma,N. incompta,N. dutertrei,G. conglomerata,G. hexagonus,P. obliquiloculata,G. inflata,G. crassaformis,G. hirsuta,G. scitula,G. glutinata,G. truncatulinoides,G. aequilateralis,G. menardii,H. pelagica,G. ruber ruber,G. tumida,G. digitata,T. humilis,C. nitida,G. uvula,D. anfracta,G. theyeri,T. iota,G. cavernula,G. cultrata,G. tenella,G. adamsi,G. crassa,SST
climap,-17.28,-35.983,0.012,0.157,0.34,0.068,0.01,0.0,0.009,0.02,0.032,0.047,0.004,0.008,0.0,0.0,0.0,0.0,0.002,0.006,0.0,0.01,0.032,0.0,0.158,0.0,0.085,,,,,,,,,,,,,,,,,,22.152657997008863
climap,-28.75,172.6,0.005,0.033,0.1,0.01,0.014,0.0,0.033,0.009,0.119,0.208,0.002,0.0,0.005,0.0,0.118,0.013,0.0,0.0,0.001,0.168,0.074,0.001,0.045,0.011,0.032,,,,,,,,,,,,,,,,,,17.82728842140718
climap,-33.23,168.73,0.014,0.0,0.055,0.002,0.002,0.0,0.018,0.002,0.192,0.109,0.0,0.001,0.005,0.002,0.212,0.037,0.0,0.0,0.002,0.251,0.029,0.0,0.031,0.0,0.034,,,,,,,,,,,,,,,,,,15.748194569528764
climap,-31.28,114.55,0.0,0.01,0.101,0.01,0.017,0.0,0.01,0.037,0.091,0.017,0.0,0.037,0.0,0.0,0.0,0.027,0.0,0.0,0.0,0.367,0.0,0.047,0.185,0.017,0.027,,,,,,,,,,,,,,,,,,16.93693602499657
climap,19.567,59.6,0.039,0.0,0.192,0.026,0.016,0.0,0.01,0.033,0.212,0.111,0.0,0.02,0.026,0.0,0.0,0.068,0.0,0.003,0.016,0.0,0.0,0.013,0.215,0.0,0.0,,,,,,,,,,,,,,,,,,22.84972829335684
climap,19.083,60.417,0.036,0.0,0.145,0.007,0.087,0.0,0.025,0.018,0.246,0.04,0.0,0.025,0.0,0.0,0.0,0.152,0.0,0.004,0.04,0.0,0.0,0.0,0.174,0.0,0.0,,,,,,,,,,,,,,,,,,22.8532893368351
climap,54.983,-15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.01,0.945,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.0,,,,,,,,,,,,,,,,,,8.477818671449683
climap,11.184,-58.585,0.002,0.016,0.418,0.005,0.182,0.0,0.048,0.009,0.041,0.014,0.007,0.034,0.0,0.018,0.005,0.034,0.0,0.0,0.0,0.002,0.014,0.011,0.11,0.0,0.027,,,,,,,,,,,,,,,,,,22.832691383549182
climap,11.184,-58.585,0.0,0.034,0.444,0.007,0.123,0.0,0.0,0.02,0.058,0.007,0.0,0.034,0.02,0.024,0.0,0.055,0.0,0.0,0.0,0.0,0.01,0.027,0.119,0.0,0.017,,,,,,,,,,,,,,,,,,22.832691383549182
climap,-11.18,-162.9,0.002,0.063,0.405,0.048,0.055,0.001,0.032,0.012,0.008,0.0,0.002,0.018,0.0,0.0,0.0,0.002,0.0,0.0,0.009,0.0,0.0,0.0,0.342,0.0,0.0,,,,,,,,,,,,,,,,,,25.783409012421224
