Core,Coring device,Latitude,Longitude,Water depth (m),Ocean,Sample depth - upper (m),Sample depth - lower (m),calendar age estimate (cal ky BP),Publication,added by (name),date of addition,Orbulina universa,Globigerinoides conglobatus,Globigerinoides ruber total,Globoturborotalita tenella,Globigerinoides sacc total,Sphaeroidinella dehiscens,Globigerinella siphonifera (=aequilateralis),Globigerinella calida,Globigerina bulloides,Globigerina falconensis,Beela digitata,Globoturborotalita rubescens,Turborotalita quinqueloba,Neogloboquadrina pachyderma L,Neogloboquadrina pachyderma R,Neogloboquadrina dutertrei,Globoquadrina conglomerata,Globorotaloides hexagonus,Pulleniatina obliquiloculata,Globorotalia inflata,Globorotalia truncatulinoides L,Globorotalia truncatulinoides R,Globorotalia crassaformis,Globorotalia hirsuta,Globorotalia scitula,Globorotalia menardii + tumida,Candeina nitida ,Globigerinita glutinata,Total Planktics,%(1) or Raw(2)
MD972148,Piston,19.8,117.54,2830,South China Sea,12.755,4.96,22.46314286,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,2.681992337,0.766283525,7.279693487,0.766283525,3.0651341,0,1.53256705,5.747126437,6.896551724,0.383141762,0,0,0,0,0,50.95785441,0.766283525,0,1.915708812,6.896551724,0,0,0,0,0,3.0651341,0,7.279693487,100,1
MD972148,Piston,19.8,117.54,2830,South China Sea,12.835,5.06,22.652,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,1.735357918,0.21691974,11.27982646,1.084598698,3.904555315,0.433839479,1.518438178,7.809110629,7.15835141,0.433839479,0.21691974,0.650759219,0,0,0,36.65943601,0.21691974,0,2.386117137,11.4967462,0,0,0.21691974,0,0,3.687635575,0,8.893709328,100,1
MD972148,Piston,19.8,117.54,2830,South China Sea,12.915,5.16,22.84085714,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,1.546391753,0.515463918,11.8556701,2.06185567,5.154639175,0,1.030927835,5.154639175,6.18556701,0,0,0.515463918,0,0,0,48.96907216,0.515463918,0,2.577319588,1.546391753,0,0,0,0,0,1.546391753,0,10.82474227,100,1
MD972151,Piston,8.73,109.87,1589,South China Sea,5.475,5.26,19.138,"Huang, C.C. & Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,1.2658,0.9494,17.7215,0,12.0253,0,1.5823,4.4304,3.7975,0.9494,0.6329,3.481,0,0,0,22.7848,1.5823,0,16.4557,0.3165,0,0,4.1139,0,0.3165,0.9494,0,6.6456,100,1
MD972151,Piston,8.73,109.87,1589,South China Sea,5.555,5.36,19.3,"Huang, C.C. & Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,3.3493,0,14.8325,0.4785,15.311,0,1.4354,2.8708,3.8278,0.4785,0,0.4785,0,0.4785,0,15.7895,1.9139,0,20.5742,2.8708,0,0.4785,3.3493,0,0.4785,3.3493,0,7.6555,100,1
MD972151,Piston,8.73,109.87,1589,South China Sea,5.635,5.46,19.462,"Huang, C.C. & Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,0.5935,0,25.2226,0,4.451,0,1.4837,5.638,6.5282,0.2967,0.5935,2.6706,0,0,0,18.3976,0.8902,0,21.9585,0.5935,0,0,1.1869,0,0.2967,1.7804,0,7.4184,100,1
MD972151,Piston,8.73,109.87,1589,South China Sea,5.715,5.56,19.624,"Huang, C.C. & Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,1.4851,0.495,22.7723,0.495,10.8911,0,2.9703,5.4455,5.9406,0,0,1.4851,0,0,0,14.3564,1.4851,0,11.8812,0.495,0,0,4.4554,0,0,2.4752,0,12.8713,100,1
MD972151,Piston,8.73,109.87,1589,South China Sea,5.795,5.61,19.786,"Huang, C.C. & Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,0.3984,0,17.9283,0,15.9363,0,1.1952,7.5697,3.9841,1.1952,0,2.7888,0,0,0,18.7251,1.5936,0,17.9283,1.5936,0,0,3.5857,0,0.3984,1.1952,0,3.9841,100,1
MD972151,Piston,8.73,109.87,1589,South China Sea,5.875,5.66,19.948,"Huang, C.C. & Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,0,0,24.8408,0,10.828,0,2.2293,6.3694,3.5032,0.6369,0,2.2293,0,0,0,19.7452,1.2739,0,16.879,0.6369,0,0,2.8662,0,0.6369,1.9108,0,5.414,100,1
MD972151,Piston,8.73,109.87,1589,South China Sea,5.955,5.76,20.11,"Huang, C.C. & Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,1.8939,0,22.7273,0,12.1212,0,1.5152,4.9242,3.7879,0,0,2.6515,0,0,0,19.697,3.7879,0,15.5303,2.2727,0,0.7576,2.2727,0,0,0.3788,0,5.6818,100,1
MD972151,Piston,8.73,109.87,1589,South China Sea,6.035,5.86,20.272,"Huang, C.C. & Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,1.1321,0.7547,26.4151,0.3774,12.8302,0,1.8868,6.0377,7.9245,0.7547,0,3.0189,0,0,0,14.717,1.5094,0,10.9434,0.3774,0,0,0.7547,0,1.1321,2.6415,0,6.7925,100,1
MD972151,Piston,8.73,109.87,1589,South China Sea,6.115,185.5,20.434,"Huang, C.C. & Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,1.2853,0.5141,19.7943,0,11.054,0,0.7712,9.7686,5.3985,0.2571,0.5141,3.3419,0,0,0,19.5373,1.0283,0,16.7095,0.2571,0,0,3.0848,0,0.2571,1.0283,0,5.3985,100,1
MD972151,Piston,8.73,109.87,1589,South China Sea,6.195,191.5,20.596,"Huang, C.C. & Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,1.7291,0.8646,23.0548,0,11.5274,0,1.4409,5.7637,4.0346,0.2882,0,2.8818,0,0,0,21.6138,0.5764,0,16.7147,0.2882,0,0,2.0173,0,0,1.4409,0,5.7637,100,1
MD972151,Piston,8.73,109.87,1589,South China Sea,6.275,195.5,20.758,"Huang, C.C. & Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,0.8287,0,21.547,0,12.1547,0,2.7624,7.4586,5.2486,0,0.2762,0.5525,0,0,0,22.9282,1.3812,0,15.7459,0,0,0.2762,3.3149,0,0.2762,0.8287,0,4.4199,100,1
