CoreID,Latitude,Longitude,Water Depth (m)
AR3-22,9.03333,-84.8,2082
V28-123,12.26667,-81.7,864
A167-18,29.775,-76.8,1015
V28-122,11.76667,-78.68333,3623
V16-23,13.25,-40.66667,4886
Y10-4,41.31667,-128.15,3130
V28-60,64.08334,-4.01667,3244
A152-84,44.35,-30.26667,2750
RC8-42,-45.66667,54.9,3915
E50-8,-50.93306,104.9081,964
V27-199,-36.26833,-4.40667,4071
RC17-123,12.85806,70.255,3581
V22-86,-41.6,-46.45,5110
RC14-12,-38.75,59.3,5271
RC10-49,16.56667,-79.53333,1238
V25-24,26.76667,-46.695,4563
RC11-61,-40.5,-50.16667,5438
V4-32,35.05,-11.61694,2296
RC11-71,-49.13334,-37.41667,5537
RC13-274,-53.15,12.42667,3372
V15-142,-44.895,-51.51667,5856
V16-114,-49.6,138.2167,3116
RC15-92,-48.49194,-10.33194,3378
E45-69,-48.84806,114.6169,3413
E45-79,-45.05695,114.3669,4099
V18-145,-41.5,-53.26667,5469
KM1-41,24.5,-16.95,1530
V18-155,-35.1,-43.46667,4848
V28-255,20.1,142.45,3261
V28-38,69.38333,-4.4,3411
RC9-162,19.07667,60.42167,3092
V23-101,19.86667,-25.51667,4482
V20-253,38.26667,-68.51667,4889
A180-20,33.4,-27.36667,4040
Y1-105,0.15,-84.05,3408
RC11-139,-33.8,112.9831,3157
Y6-9,-13.75,-77.71667,5371
RC10-250,6.26667,-84.31667,1734
V23-29,59.95,-32.85,2186
V27-60,72.18333,8.58333,2525
V28-56,68.03333,-6.11667,2941
V27-84,68.63333,-1.6,3404
RC11-13,1.66667,-41.51667,4378
V25-56,-3.54667,-35.23,3512
V16-210,34.88334,-55.56667,5471
V16-200,1.96667,-37.06667,4093
V25-46,9.31667,-42.99333,4310
RC13-156,10.03167,-76.955,3103
RC13-146,11.91,-75.04,3387
Y1-74,2.01667,-88.31667,2586
Y6-25,-15.26667,-76.31667,4614
V22-26,8.7,-41.25,3720
E49-8,-55.07,110.0181,1103
V23-62,74.9,1.6,3713
E18-3,-56.95,-99.43305,4410
RC9-62,6.81667,-78.71667,3250
V19-310,33.3,-48.26667,4607
V16-93,-30.2,91.71694,2769
V28-129,11.11667,-80.4,3400
V28-128,11.6,-80.75,3264
Y4-10,43.26667,-126.4,3002
RC9-126,-33.23167,168.725,2060
V23-145,37.06667,-69.6,4349
V20-103,33.96667,-177.8167,3442
V21-218,7.25,-78.56667,2763
V20-171,-21.98306,68.48306,2833
V18-215,-30.56694,114.45,1161
RC8-39,-42.88334,42.35,4330
RC9-222,45.09167,-10.56,4903
RC15-101,-42.96667,-41.57167,5174
A180-74,0.05,-24.16667,3329
V28-115,13.91667,-72.36667,3970
V18-163,-36.96667,-37.76667,5000
RC17-91,-25.35,69.46667,3444
V28-14,64.78333,-29.56667,1855
E21-20,-60.25,-120.167,4703
RC13-252,-45.085,9.15,4523
V16-48,-33.2,15.0,3680
RC13-242,-37.53833,-3.58667,4266
V16-58,-46.5,31.26667,4731
V22-189,4.93333,-21.11667,2525
V22-188,4.66667,-20.91667,2600
RC12-325,3.61667,52.16667,5136
V21-28,1.08333,-87.28333,2714
V19-29,-3.56667,-83.21667,3157
RC17-105,-16.225,58.63306,2500
A179-24,35.76667,-69.08334,4663
A180-39,25.81667,-19.3,3470
V19-296,1.41667,-9.08333,5017
RC8-106,14.0,-74.86667,3904
V26-43,19.28833,-26.11167,4387
V26-53,0.3,-14.8,4323
V28-35,67.11667,-9.56667,1376
V29-176,40.55,-26.0,3064
AR3-14,4.46667,-81.6,3384
E49-22,-45.02195,95.08195,812
V29-177,41.53333,-25.7,3391
V19-198,-3.16667,45.81667,4609
V16-209,30.0,-51.85,4673
V19-188,6.86667,60.66667,3356
V27-164,29.48833,-19.61333,4623
RC11-78,-50.85,-9.86667,3115
V16-67,-37.15,43.5,3643
V27-175,8.8,-22.11667,4548
E45-70,-48.5,114.4667,3685
V22-107,-44.46695,-6.63306,3898
A180-16,38.35,-32.48333,3034
V27-40,63.45,-6.13333,1652
V20-228,-2.46667,-36.41667,3676
V26-46,9.56667,-18.18333,2898
V19-19,13.23333,-78.36667,3760
V18-352,5.55833,-83.40833,3072
Y1-80,-1.01667,-91.85,3408
V23-108,17.4,-43.21667,4367
RC15-64,-51.47,-76.42167,3200
V16-21,17.275,-48.41667,3975
V24-202,-34.35,59.21695,5512
AR3-20,8.05,-85.51667,2857
V23-14,43.4,-45.25,3177
RC11-104,-40.91667,57.65,4885
RC13-194,4.5,-13.68333,4770
V27-83,74.2,-5.71667,3416
V27-122,48.295,-16.97333,4696
A164-16,36.15,-69.15,4624
