Event	Method/Device	Latitude	Longitude	Elevation [m]	Age [ka BP]	Depth sed [m]	CaCO3 [%]	Reference
V26-176	Piston corer	36.0500	-72.3800	-3942	21	4.40	13	Balsam and McCoy, 1987
V26-177	Piston corer	37.5500	-72.5700	-2979	21	1.70	16	Balsam and McCoy, 1987
V26-37	Piston corer	16.6330	-31.1000	-4898	21	0.25	49	Balsam and McCoy, 1987
V26-41	Piston corer	19.3330	-26.1200	-4341	21	0.43	60	Balsam and McCoy, 1987
V26-46	Piston corer	9.5670	-18.1800	-2898	21	0.45	28	Balsam and McCoy, 1987
V26-63	Piston corer	-23.9700	-37.9500	-3619	21	0.30	31	Balsam and McCoy, 1987
V26-82	Piston corer	-27.7700	-37.2500	-3878	21	0.20	61	Balsam and McCoy, 1987
V27-110	Piston corer	56.9000	-18.5000	-1264	21	0.47	26	Balsam and McCoy, 1987
V27-116	Piston corer	52.8330	-30.3300	-3202	21	0.60	20	Balsam and McCoy, 1987
V27-17	Piston corer	50.1000	-37.3000	-2165	21	0.35	16	Balsam and McCoy, 1987
V27-171	Piston corer	21.7330	-32.5700	-4693	21	0.20	56	Balsam and McCoy, 1987
V27-175	Piston corer	8.8000	-22.1200	-4548	21	0.50	13	Balsam and McCoy, 1987
V27-178	Piston corer	5.1000	-26.6500	-4327	21	0.55	43	Balsam and McCoy, 1987
V27-19	Piston corer	52.1000	-38.8000	-3466	21	0.35	16	Balsam and McCoy, 1987
V27-20	Piston corer	54.0000	-46.2000	-3510	21	0.80	8	Balsam and McCoy, 1987
V27-228	Piston corer	-10.0700	11.4500	-2392	21	0.90	17	Balsam and McCoy, 1987
V27-232	Piston corer	-0.2330	7.5500	-2615	21	0.60	33	Balsam and McCoy, 1987
V27-238	Piston corer	-6.4670	-3.7170	-4813	21	0.52	39	Balsam and McCoy, 1987
V27-239	Piston corer	-7.8330	-1.5170	-4464	21	0.20	74	Balsam and McCoy, 1987
V27-240	Piston corer	-2.0500	-5.0000	-5115	21	0.70	33	Balsam and McCoy, 1987
V27-248	Piston corer	3.0500	-11.8200	-4543	21	0.82	16	Balsam and McCoy, 1987
V27-263	Piston corer	35.0170	-40.9200	-3704	21	0.20	57	Balsam and McCoy, 1987
V27-264	Piston corer	36.5170	-43.7200	-4801	21	1.60	14	Balsam and McCoy, 1987
V27-265	Piston corer	36.1000	-43.6800	-4945	21	1.20	12	Balsam and McCoy, 1987
V27-267	Piston corer	35.6330	-44.2800	-4722	21	1.00	15	Balsam and McCoy, 1987
V27-269	Piston corer	37.0330	-56.6700	-5066	21	1.50	0	Balsam and McCoy, 1987
V27-46	Piston corer	67.5830	-11.5200	-1728	21	0.70	6	Balsam and McCoy, 1987
V27-47	Piston corer	68.4670	-13.5500	-1717	21	0.50	5	Balsam and McCoy, 1987
V27-60	Piston corer	72.1830	8.5830	-2525	21	1.10	6	Balsam and McCoy, 1987
V27-84	Piston corer	68.6330	-1.6000	-3404	21	0.60	14	Balsam and McCoy, 1987
V27-85	Piston corer	67.3670	4.0330	-1227	21	0.40	10	Balsam and McCoy, 1987
V27-86	Piston corer	66.6000	1.1170	-2900	21	0.80	8	Balsam and McCoy, 1987
V28-108	Piston corer	26.7000	-72.2800	-5216	21	1.00	4	Balsam and McCoy, 1987
V28-14	Piston corer	64.7830	-29.5700	-1855	21	1.60	5	Balsam and McCoy, 1987
V28-35	Piston corer	67.1170	-9.5670	-1376	21	0.50	13	Balsam and McCoy, 1987
V28-38	Piston corer	69.3830	-4.4000	-3411	21	1.60	10	Balsam and McCoy, 1987
V28-56	Piston corer	68.0330	-6.1170	-2941	21	0.70	8	Balsam and McCoy, 1987
V28-59	Piston corer	64.8670	-7.8670	-2622	21	0.50	3	Balsam and McCoy, 1987
V28-89	Piston corer	44.5330	-32.5800	-3643	21	0.72	16	Balsam and McCoy, 1987
V29-144	Piston corer	-0.2000	6.0500	-2685	21	0.85	52	Balsam and McCoy, 1987
V29-153	Piston corer	0.9670	0.1670	-4872	21	0.60	5	Balsam and McCoy, 1987
