Core,Coring device,Latitude,Longitude,Water depth (m),Ocean,Sample depth - upper (m),Species,Relative Abundance
GeoB1309-2,,-31.6667,-28.6667,-3963,South Atlantic,0.18,N. pachyderma,0
GeoB1309-2,,-31.6667,-28.6667,-3963,South Atlantic,0.18,N. incompta,0.1647
GeoB1309-2,,-31.6667,-28.6667,-3963,South Atlantic,0.18,N. dutertrei,0
GeoB1309-2,,-31.6667,-28.6667,-3963,South Atlantic,0.18,G. conglomerata,0
GeoB1309-2,,-31.6667,-28.6667,-3963,South Atlantic,0.18,G. hexagonus,0
GeoB1309-2,,-31.6667,-28.6667,-3963,South Atlantic,0.18,P. obliquiloculata,0
GeoB1309-2,,-31.6667,-28.6667,-3963,South Atlantic,0.18,G. inflata,0.1362
GeoB1309-2,,-31.6667,-28.6667,-3963,South Atlantic,0.18,G. truncatulinoides,0.1183
GeoB1309-2,,-31.6667,-28.6667,-3963,South Atlantic,0.18,G. crassaformis,
GeoB1309-2,,-31.6667,-28.6667,-3963,South Atlantic,0.18,G. hirsuta,0.0329
GeoB1309-2,,-31.6667,-28.6667,-3963,South Atlantic,0.18,G. scitula,0.0309
GeoB1309-2,,-31.6667,-28.6667,-3963,South Atlantic,0.18,D. anfracta,0
GeoB1309-2,,-31.6667,-28.6667,-3963,South Atlantic,0.18,G. cultrata,0
GeoB1309-2,,-31.6667,-28.6667,-3963,South Atlantic,0.18,G. tumida,0
GeoB1309-2,,-31.6667,-28.6667,-3963,South Atlantic,0.18,C. nitida,0
GeoB1309-2,,-31.6667,-28.6667,-3963,South Atlantic,0.18,G. glutinata,0.016
GeoB1309-2,,-31.6667,-28.6667,-3963,South Atlantic,0.18,G. eastropacia,0
GeoB1309-2,,-31.6667,-28.6667,-3963,South Atlantic,0.18,T. iota,0
GeoB1309-2,,-31.6667,-28.6667,-3963,South Atlantic,0.18,G. uvula,
GeoB1312-2,,-31.6617,-29.6567,-3436,South Atlantic,0.13,O. universa,0.0119
GeoB1312-2,,-31.6617,-29.6567,-3436,South Atlantic,0.13,G. conglobatus,0.007
GeoB1312-2,,-31.6617,-29.6567,-3436,South Atlantic,0.13,G. ruber ruber,0.0094
GeoB1312-2,,-31.6617,-29.6567,-3436,South Atlantic,0.13,G. ruber albus,0.2712
GeoB1312-2,,-31.6617,-29.6567,-3436,South Atlantic,0.13,G. tenellus,0.005
GeoB1312-2,,-31.6617,-29.6567,-3436,South Atlantic,0.13,T. sacculifer,0.0195
GeoB1312-2,,-31.6617,-29.6567,-3436,South Atlantic,0.13,S. dehiscens,0
GeoB1312-2,,-31.6617,-29.6567,-3436,South Atlantic,0.13,G. adamsi,
GeoB1312-2,,-31.6617,-29.6567,-3436,South Atlantic,0.13,G. siphonifera,0.0171
GeoB1312-2,,-31.6617,-29.6567,-3436,South Atlantic,0.13,G. calida,0.1233
GeoB1312-2,,-31.6617,-29.6567,-3436,South Atlantic,0.13,G. bulloides,0.0063
GeoB1312-2,,-31.6617,-29.6567,-3436,South Atlantic,0.13,G. falconensis,0.0438
GeoB1312-2,,-31.6617,-29.6567,-3436,South Atlantic,0.13,B. digitata,0
GeoB1312-2,,-31.6617,-29.6567,-3436,South Atlantic,0.13,G. rubescens,0.0207
GeoB1312-2,,-31.6617,-29.6567,-3436,South Atlantic,0.13,T. humilis,0
GeoB1312-2,,-31.6617,-29.6567,-3436,South Atlantic,0.13,T. quinqueloba,0
GeoB1312-2,,-31.6617,-29.6567,-3436,South Atlantic,0.13,N. pachyderma,0.0075
GeoB1312-2,,-31.6617,-29.6567,-3436,South Atlantic,0.13,N. incompta,0.1127
GeoB1312-2,,-31.6617,-29.6567,-3436,South Atlantic,0.13,N. dutertrei,0
GeoB1312-2,,-31.6617,-29.6567,-3436,South Atlantic,0.13,G. conglomerata,0
GeoB1312-2,,-31.6617,-29.6567,-3436,South Atlantic,0.13,G. hexagonus,0
GeoB1312-2,,-31.6617,-29.6567,-3436,South Atlantic,0.13,P. obliquiloculata,0
GeoB1312-2,,-31.6617,-29.6567,-3436,South Atlantic,0.13,G. inflata,0.1378
GeoB1312-2,,-31.6617,-29.6567,-3436,South Atlantic,0.13,G. truncatulinoides,0.1018
GeoB1312-2,,-31.6617,-29.6567,-3436,South Atlantic,0.13,G. crassaformis,
GeoB1312-2,,-31.6617,-29.6567,-3436,South Atlantic,0.13,G. hirsuta,0.0268
GeoB1312-2,,-31.6617,-29.6567,-3436,South Atlantic,0.13,G. scitula,0.0507
GeoB1312-2,,-31.6617,-29.6567,-3436,South Atlantic,0.13,D. anfracta,0
GeoB1312-2,,-31.6617,-29.6567,-3436,South Atlantic,0.13,G. cultrata,0
GeoB1312-2,,-31.6617,-29.6567,-3436,South Atlantic,0.13,G. tumida,0
GeoB1312-2,,-31.6617,-29.6567,-3436,South Atlantic,0.13,C. nitida,0
GeoB1312-2,,-31.6617,-29.6567,-3436,South Atlantic,0.13,G. glutinata,0.0275
GeoB1312-2,,-31.6617,-29.6567,-3436,South Atlantic,0.13,G. eastropacia,0
GeoB1312-2,,-31.6617,-29.6567,-3436,South Atlantic,0.13,T. iota,0
GeoB1312-2,,-31.6617,-29.6567,-3436,South Atlantic,0.13,G. uvula,
GeoB1706-2,,-19.5617,11.175,-980,South Atlantic,1.23,O. universa,0.0126
GeoB1706-2,,-19.5617,11.175,-980,South Atlantic,1.23,G. conglobatus,0
GeoB1706-2,,-19.5617,11.175,-980,South Atlantic,1.23,G. ruber ruber,0
GeoB1706-2,,-19.5617,11.175,-980,South Atlantic,1.23,G. ruber albus,0
GeoB1706-2,,-19.5617,11.175,-980,South Atlantic,1.23,G. tenellus,0.0167
GeoB1706-2,,-19.5617,11.175,-980,South Atlantic,1.23,T. sacculifer,0
GeoB1706-2,,-19.5617,11.175,-980,South Atlantic,1.23,S. dehiscens,0
GeoB1706-2,,-19.5617,11.175,-980,South Atlantic,1.23,G. adamsi,
GeoB1706-2,,-19.5617,11.175,-980,South Atlantic,1.23,G. siphonifera,0.0042
GeoB1706-2,,-19.5617,11.175,-980,South Atlantic,1.23,G. calida,0
GeoB1706-2,,-19.5617,11.175,-980,South Atlantic,1.23,G. bulloides,0.1548
GeoB1706-2,,-19.5617,11.175,-980,South Atlantic,1.23,G. falconensis,0.0042
GeoB1706-2,,-19.5617,11.175,-980,South Atlantic,1.23,B. digitata,0
GeoB1706-2,,-19.5617,11.175,-980,South Atlantic,1.23,G. rubescens,0.0042
GeoB1706-2,,-19.5617,11.175,-980,South Atlantic,1.23,T. humilis,0
GeoB1706-2,,-19.5617,11.175,-980,South Atlantic,1.23,T. quinqueloba,0.0669
