Event,Latitude,Longitude,Elevation,Depth sed,Species,Absolute Abundance
A173-4,33.867,-62.533,-3932,0.72,G. truncatulinoides,
A179-15,24.8,-75.933,-3109,1.49,O. universa,
A179-15,24.8,-75.933,-3109,1.49,G. conglobatus,
A179-15,24.8,-75.933,-3109,1.49,G. ruber albus,
A179-15,24.8,-75.933,-3109,1.49,G. tenellus,
A179-15,24.8,-75.933,-3109,1.49,T. sacculifer,
A179-15,24.8,-75.933,-3109,1.49,S. dehiscens,
A179-15,24.8,-75.933,-3109,1.49,G. siphonifera,
A179-15,24.8,-75.933,-3109,1.49,G. calida,
A179-15,24.8,-75.933,-3109,1.49,G. bulloides,
A179-15,24.8,-75.933,-3109,1.49,G. falconensis,
A179-15,24.8,-75.933,-3109,1.49,B. digitata,
A179-15,24.8,-75.933,-3109,1.49,G. rubescens,
A179-15,24.8,-75.933,-3109,1.49,T. quinqueloba,
A179-15,24.8,-75.933,-3109,1.49,N. pachyderma,
A179-15,24.8,-75.933,-3109,1.49,N. incompta,
A179-15,24.8,-75.933,-3109,1.49,N. dutertrei,
A179-15,24.8,-75.933,-3109,1.49,G. conglomerata,
A179-15,24.8,-75.933,-3109,1.49,G. hexagonus,
A179-15,24.8,-75.933,-3109,1.49,P. obliquiloculata,
A179-15,24.8,-75.933,-3109,1.49,G. inflata,
A179-15,24.8,-75.933,-3109,1.49,G. crassaformis,
A179-15,24.8,-75.933,-3109,1.49,G. hirsuta,
A179-15,24.8,-75.933,-3109,1.49,G. scitula,
A179-15,24.8,-75.933,-3109,1.49,G. glutinata,
A179-15,24.8,-75.933,-3109,1.49,G. truncatulinoides,
A179-15,24.8,-75.933,-3109,1.62,O. universa,
A179-15,24.8,-75.933,-3109,1.62,G. conglobatus,
A179-15,24.8,-75.933,-3109,1.62,G. ruber albus,
A179-15,24.8,-75.933,-3109,1.62,G. tenellus,
A179-15,24.8,-75.933,-3109,1.62,T. sacculifer,
A179-15,24.8,-75.933,-3109,1.62,S. dehiscens,
A179-15,24.8,-75.933,-3109,1.62,G. siphonifera,
A179-15,24.8,-75.933,-3109,1.62,G. calida,
A179-15,24.8,-75.933,-3109,1.62,G. bulloides,
A179-15,24.8,-75.933,-3109,1.62,G. falconensis,
A179-15,24.8,-75.933,-3109,1.62,B. digitata,
A179-15,24.8,-75.933,-3109,1.62,G. rubescens,
