Event,Latitude,Longitude,Elevation,Depth,Species,Absolute Abundance
A164-17,35.7833,-68.9333,-4824,8,G. rubescens,0
A164-17,35.7833,-68.9333,-4824,8,T. humilis,1
A164-17,35.7833,-68.9333,-4824,8,T. quinqueloba,0
A164-17,35.7833,-68.9333,-4824,8,N. pachyderma,6
A164-17,35.7833,-68.9333,-4824,8,N. incompta,22
A164-17,35.7833,-68.9333,-4824,8,N. dutertrei,31
A164-17,35.7833,-68.9333,-4824,8,G. conglomerata,0
A164-17,35.7833,-68.9333,-4824,8,G. hexagonus,0
A164-17,35.7833,-68.9333,-4824,8,P. obliquiloculata,6
A164-17,35.7833,-68.9333,-4824,8,G. inflata,61
A164-17,35.7833,-68.9333,-4824,8,T. truncatulinoides,22
A164-17,35.7833,-68.9333,-4824,8,G. crassaformis,0
A164-17,35.7833,-68.9333,-4824,8,G. hirsuta,20
A164-17,35.7833,-68.9333,-4824,8,G. scitula,0
A164-17,35.7833,-68.9333,-4824,8,D. anfracta,0
A164-17,35.7833,-68.9333,-4824,8,G. cultrata,14
A164-17,35.7833,-68.9333,-4824,8,G. tumida,17
A164-17,35.7833,-68.9333,-4824,8,C. nitida,0
A164-17,35.7833,-68.9333,-4824,8,G. glutinata,5
A164-17,35.7833,-68.9333,-4824,8,T. iota,0
A164-17,35.7833,-68.9333,-4824,8,G. uvula,0
A164-17,35.7833,-68.9333,-4824,8,B. pumilio,0
A164-17,35.7833,-68.9333,-4824,8,H. pelagica,0
A164-17,35.7833,-68.9333,-4824,8,H. digitata,0
A164-23,36.2167,-69.4,-4512,9,O. universa,3
A164-23,36.2167,-69.4,-4512,9,G. conglobatus,3
A164-23,36.2167,-69.4,-4512,9,G. ruber ruber,1
A164-23,36.2167,-69.4,-4512,9,G. ruber albus,81
A164-23,36.2167,-69.4,-4512,9,G. tenellus,0
A164-23,36.2167,-69.4,-4512,9,T. sacculifer,36
A164-23,36.2167,-69.4,-4512,9,S. dehiscens,0
A164-23,36.2167,-69.4,-4512,9,G. adamsi,0
A164-23,36.2167,-69.4,-4512,9,G. aequilateralis,10
A164-23,36.2167,-69.4,-4512,9,G. calida,0
A164-23,36.2167,-69.4,-4512,9,G. bulloides,67
A164-23,36.2167,-69.4,-4512,9,G. falconensis,11
A164-23,36.2167,-69.4,-4512,9,G. digitata,1
A164-23,36.2167,-69.4,-4512,9,G. rubescens,0
A164-23,36.2167,-69.4,-4512,9,T. humilis,0
A164-23,36.2167,-69.4,-4512,9,T. quinqueloba,0
A164-23,36.2167,-69.4,-4512,9,N. pachyderma,4
A164-23,36.2167,-69.4,-4512,9,N. incompta,19
A164-23,36.2167,-69.4,-4512,9,N. dutertrei,26
A164-23,36.2167,-69.4,-4512,9,G. conglomerata,0
A164-23,36.2167,-69.4,-4512,9,G. hexagonus,0
A164-23,36.2167,-69.4,-4512,9,P. obliquiloculata,18
A164-23,36.2167,-69.4,-4512,9,G. inflata,43
A164-23,36.2167,-69.4,-4512,9,T. truncatulinoides,25
A164-23,36.2167,-69.4,-4512,9,G. crassaformis,1
A164-23,36.2167,-69.4,-4512,9,G. hirsuta,31
A164-23,36.2167,-69.4,-4512,9,G. scitula,0
A164-23,36.2167,-69.4,-4512,9,D. anfracta,0
A164-23,36.2167,-69.4,-4512,9,G. cultrata,10
A164-23,36.2167,-69.4,-4512,9,G. tumida,7
A164-23,36.2167,-69.4,-4512,9,C. nitida,0
A164-23,36.2167,-69.4,-4512,9,G. glutinata,19
A164-23,36.2167,-69.4,-4512,9,T. iota,0
A164-23,36.2167,-69.4,-4512,9,G. uvula,0
A164-23,36.2167,-69.4,-4512,9,B. pumilio,0
A164-23,36.2167,-69.4,-4512,9,H. pelagica,0
A164-23,36.2167,-69.4,-4512,9,H. digitata,0
A167-12,31.8333,-74.35,-4700,10,O. universa,0
A167-12,31.8333,-74.35,-4700,10,G. conglobatus,16
A167-12,31.8333,-74.35,-4700,10,G. ruber ruber,0
A167-12,31.8333,-74.35,-4700,10,G. ruber albus,167
A167-12,31.8333,-74.35,-4700,10,G. tenellus,0
A167-12,31.8333,-74.35,-4700,10,T. sacculifer,19
A167-12,31.8333,-74.35,-4700,10,S. dehiscens,1
