Latitude,Longitude,Event,Depth [m],Species,Absolute Abundance
-11.7705,11.6819,GeoB1016-3,0.73,G. tenellus,1
-11.7705,11.6819,GeoB1016-3,0.73,G. truncatulinoides,0
-11.7705,11.6819,GeoB1016-3,0.73,G. conglobatus,0
-11.7705,11.6819,GeoB1016-3,0.73,G. conglomerata,0
-11.7705,11.6819,GeoB1016-3,0.73,S. dehiscens,0
-11.7705,11.6819,GeoB1016-3,0.73,G. digitata,22
-11.7705,11.6819,GeoB1016-3,0.73,T. humilis,0
-11.7705,11.6819,GeoB1016-3,0.73,C. nitida,0
-11.7705,11.6819,GeoB1016-3,0.73,G. rubescens,3
-11.7705,11.6819,GeoB1016-3,0.73,G. hexagonus,0
-11.7705,11.6819,GeoB1016-3,0.73,G. uvula,0
-11.7705,11.6819,GeoB1016-3,0.73,P. obliquiloculata,0
-11.7705,11.6819,GeoB1016-3,0.73,D. anfracta,0
-11.7705,11.6819,GeoB1016-3,0.73,G. theyeri,20
-11.7705,11.6819,GeoB1016-3,0.73,T. iota,0
-11.7705,11.6819,GeoB1016-3,0.78,G. bulloides,25
-11.7705,11.6819,GeoB1016-3,0.78,G. crassaformis,4
-11.7705,11.6819,GeoB1016-3,0.78,N. dutertrei,25
-11.7705,11.6819,GeoB1016-3,0.78,G. inflata,114
-11.7705,11.6819,GeoB1016-3,0.78,N. incompta,27
-11.7705,11.6819,GeoB1016-3,0.78,N. pachyderma,0
-11.7705,11.6819,GeoB1016-3,0.78,G. ruber albus,12
-11.7705,11.6819,GeoB1016-3,0.78,G. scitula,5
-11.7705,11.6819,GeoB1016-3,0.78,O. universa,29
-11.7705,11.6819,GeoB1016-3,0.78,G. aequilateralis,4
-11.7705,11.6819,GeoB1016-3,0.78,G. calida,0
-11.7705,11.6819,GeoB1016-3,0.78,G. falconensis,0
-11.7705,11.6819,GeoB1016-3,0.78,G. glutinata,14
-11.7705,11.6819,GeoB1016-3,0.78,G. hirsuta,0
-11.7705,11.6819,GeoB1016-3,0.78,G. menardii,7
-11.7705,11.6819,GeoB1016-3,0.78,H. pelagica,0
-11.7705,11.6819,GeoB1016-3,0.78,T. quinqueloba,1
-11.7705,11.6819,GeoB1016-3,0.78,G. ruber ruber,15
-11.7705,11.6819,GeoB1016-3,0.78,T. sacculifer,36
-11.7705,11.6819,GeoB1016-3,0.78,G. tumida,3
-11.7705,11.6819,GeoB1016-3,0.78,G. tenellus,0
-11.7705,11.6819,GeoB1016-3,0.78,G. truncatulinoides,0
-11.7705,11.6819,GeoB1016-3,0.78,G. conglobatus,0
-11.7705,11.6819,GeoB1016-3,0.78,G. conglomerata,0
-11.7705,11.6819,GeoB1016-3,0.78,S. dehiscens,3
-11.7705,11.6819,GeoB1016-3,0.78,G. digitata,7
-11.7705,11.6819,GeoB1016-3,0.78,T. humilis,0
-11.7705,11.6819,GeoB1016-3,0.78,C. nitida,0
-11.7705,11.6819,GeoB1016-3,0.78,G. rubescens,2
-11.7705,11.6819,GeoB1016-3,0.78,G. hexagonus,0
-11.7705,11.6819,GeoB1016-3,0.78,G. uvula,0
